Time, 01/02/2024 15:06:34, X, 4935361.802626209  , Y, -477199.09352789656, Z, 2807816.8770431383 , Lat, 0.5152542035161165   , Lon, 3.045202500056826  , Alt, -672811.6288864268 , Bx, [0.85415036] , [0.25598959] , [-0.45265495], By, [0.59321293] , [0.38656684] , [0.70616181] , Bz, [0.66432025] , [-0.46073998], [0.58855524]
Time, 01/02/2024 15:06:35, X, 6257031.879712978  , Y, 404911.6609072534  , Z, 3599315.534660429  , Lat, 0.5211144351233239   , Lon, 0.06462294866354545, Alt, 858763.0469422089  , Bx, [-0.79838766], [-0.05675723], [0.59946289] , By, [0.51299866] , [0.68678116] , [0.51494079] , Bz, [0.64308098] , [0.18516798] , [0.74307447]
Time, 01/02/2024 15:06:36, X, 7642086.343973386  , Y, 596763.7359860889  , Z, 4617992.558829838  , Lat, 0.5422191831613585   , Lon, 0.07793096338879776, Alt, 2577936.580328433  , Bx, [0.67155742] , [0.70929464] , [0.21427026] , By, [0.09407515] , [-0.15445323], [-0.98351109], Bz, [0.16278181] , [-0.87446912], [0.45695278]
Time, 01/02/2024 15:06:37, X, 8623257.61730907   , Y, 1661034.687137446  , Z, 5898051.764791505  , Lat, 0.591426719180906    , Lon, 0.190291990193402  , Alt, 4207592.665686343  , Bx, [-0.39078442], [0.80723352] , [0.44233651] , By, [-0.37069547], [-0.82237803], [0.4316008]  , Bz, [-0.48732174], [0.72940279] , [0.48009279]
Time, 01/02/2024 15:06:38, X, 9345174.326936297  , Y, 3260509.9730609315 , Z, 6940057.526322994  , Lat, 0.6115196905596703   , Lon, 0.3356924913807325 , Alt, 5717325.233626513  , Bx, [-0.97854463], [-0.20490639], [0.0215354]  , By, [-0.44964678], [-0.58097807], [0.67844105] , Bz, [-0.5917218] , [0.80239678] , [-0.07761901]
Time, 01/02/2024 15:06:40, X, 10559531.838163294 , Y, 4509750.317134066  , Z, 8822625.794110911  , Lat, 0.655156057586543    , Lon, 0.4036299416149605 , Alt, 8109341.37950436   , Bx, [0.59473284] , [0.3288664]  , [-0.73358009], By, [-0.77374208], [-0.51331007], [-0.37126266], Bz, [0.32426231] , [-0.22467384], [0.91889914]
Time, 01/02/2024 15:06:41, X, 10910761.073805775 , Y, 6178479.9051098935 , Z, 10156924.174168978 , Lat, 0.6808376757237768   , Lon, 0.5152517043034652 , Alt, 9765338.798728177  , Bx, [0.30118185] , [0.54413681] , [-0.78307383], By, [-0.66999285], [-0.63171593], [-0.38992893], Bz, [-0.90836079], [0.27494647] , [-0.31509541]
Time, 01/02/2024 15:06:42, X, 11963260.165366473 , Y, 6875630.713204537  , Z, 11354634.392953582 , Lat, 0.688548754622284    , Lon, 0.521630476759173  , Alt, 11498572.28604675  , Bx, [0.95863391] , [0.21545342] , [-0.18601303], By, [-0.94290183], [0.08291174] , [0.32258607] , Bz, [0.36951671] , [-0.89196905], [-0.26047767]
Time, 01/02/2024 15:06:43, X, 12759422.298643915 , Y, 8200386.6544250045 , Z, 13563269.966183532 , Lat, 0.7296235959907348   , Lon, 0.5712210638054648 , Alt, 13976272.31971842  , Bx, [-0.04023207], [-0.99903962], [-0.01735569], By, [0.20154999] , [-0.12856948], [0.97100334] , Bz, [-0.15000063], [0.3580079]  , [0.9215911]
Time, 01/02/2024 15:06:44, X, 13440520.75596922  , Y, 10194655.88586292  , Z, 16254816.701246478 , Lat, 0.7668446828922062   , Lon, 0.6489199375134407 , Alt, 17055431.072912503 , Bx, [0.04298897] , [0.93290205] , [-0.3575552] , By, [0.59782048] , [-0.64517393], [0.47577439] , Bz, [-0.14065525], [0.65168969] , [0.74532989]
Time, 01/02/2024 15:06:45, X, 13431424.75051154  , Y, 12330521.483717784 , Z, 19399666.002235018 , Lat, 0.8163876723351504   , Lon, 0.7426904485008536 , Alt, 20252147.294926513 , Bx, [-0.60088423], [0.2586091]  , [-0.75634613], By, [-0.25749162], [0.84970519] , [0.46010777] , Bz, [-0.67775216], [0.29547167] , [0.67331159]
Time, 01/02/2024 15:06:46, X, 13498183.016393576 , Y, 15544902.537555799 , Z, 22831303.915208887 , Lat, 0.8370305200484875   , Lon, 0.8557536834404922 , Alt, 24371696.33774496  , Bx, [0.7422927]  , [0.62159951] , [-0.25023107], By, [0.63669611] , [-0.20331855], [0.74382769] , Bz, [-0.17559398], [0.90021229] , [0.39847785]
Time, 01/02/2024 15:06:47, X, 12699079.826537088 , Y, 18839210.642216694 , Z, 26581020.602565635 , Lat, 0.8635614804965125   , Lon, 0.9776809783446693 , Alt, 28596601.32374811  , Bx, [-0.66754447], [0.73311311] , [0.13011361] , By, [-0.63696889], [0.21828254] , [-0.73933982], Bz, [-0.85941669], [0.3892493]  , [0.33149349]
Time, 01/02/2024 15:06:48, X, 11856351.774847327 , Y, 22603058.633653097 , Z, 31200679.1084679   , Lat, 0.885141537857085    , Lon, 1.0877050257362646 , Alt, 33939714.62818379  , Bx, [-0.96982066], [-0.21387924], [-0.11706215], By, [-0.17991215], [-0.83004134], [-0.52788539], Bz, [-0.18171062], [0.53537403] , [0.82483689]
