Time, 01/02/2024 15:06:54, X, -50788622.45524611 , Y, 50783079.8160415   , Z,   41607757.836714335 , Lat,  0.5250728734423775 , Lon, -0.7853435946634884   , Alt, 76632679.91060778  , Bx, [0.46016362] , [0.8784948]  , [-0.12843804], By, [-0.01585107], [0.88430944] , [0.46663214] , Bz, [0.75607699] , [0.24871579] , [0.60538256]
Time, 01/02/2024 15:06:55, X, -53801171.659547   , Y, 57441112.53503141  , Z,   44169006.70386203  , Lat,  0.5114138603783969 , Lon, -0.8181073323743124   , Alt, 83878369.16349052  , Bx, [-0.5070885] , [0.86075392] , [0.04431635] , By, [0.63199266] , [0.15693446] , [0.75891821] , Bz, [-0.76179302], [0.6397032]  , [0.10223111]
Time, 01/02/2024 15:06:56, X, -56822221.46438754 , Y, 63233563.94674477  , Z,   45376627.39974696  , Lat,  0.490289157208184  , Lon, -0.8387505117894829   , Alt, 89994381.62499243  , Bx, [0.26224912] , [0.37789471] , [-0.88793073], By, [-0.80740372], [0.42877235] , [0.405282]   , Bz, [-0.3080569] , [-0.33694791], [-0.88970054]
Time, 01/02/2024 15:06:57, X, -60369148.079136856, Y, 70791929.82751551  , Z,   47008358.466108985 , Lat,  0.4678497761946434 , Lon, -0.8646970340641449   , Alt, 97867750.6361374   , Bx, [-0.8636701] , [0.06577922] , [-0.49974699], By, [0.38200412] , [0.29519682] , [0.87574636] , Bz, [-0.38200599], [0.92365336] , [-0.03059225]
Time, 01/02/2024 15:06:58, X, -63634521.37733453 , Y, 79379882.71314982  , Z,   49703278.21188708  , Lat,  0.45444115653153494, Lon, -0.8950528696467162   , Alt, 106858563.08086734 , Bx, [0.47635034] , [-0.22743305], [0.84933183] , By, [-0.56628776], [0.20014558] , [-0.79953731], Bz, [0.03456322] , [0.84453469] , [0.53438426]
Time, 01/02/2024 15:06:59, X, -67480443.90376563 , Y, 86643317.03940998  , Z,   53499923.00532475  , Lat,  0.453319078491464  , Lon, -0.9090976663499397   , Alt, 115788389.56386712 , Bx, [-0.26348924], [-0.18869316], [0.94602765] , By, [0.36718392] , [-0.45788252], [-0.80964162], Bz, [-0.25095974], [-0.62259123], [0.74121479]
Time, 01/02/2024 15:07:00, X, -70078962.38931827 , Y, 93133040.39073105  , Z,   57867082.36623062  , Lat,  0.4608302292311117 , Lon, -0.9257221632367312   , Alt, 123757488.05532609 , Bx, [-0.3064709] , [0.94092195] , [0.14401898] , By, [-0.38007439], [-0.54687034], [-0.74597338], Bz, [0.58862027] , [-0.62535835], [0.51230177]
Time, 01/02/2024 15:07:01, X, -73019383.46470529 , Y, 99588063.20952886  , Z,   59870069.84952584  , Lat,  0.45142987509351684, Lon, -0.9381249583521996   , Alt, 130866159.54207847 , Bx, [0.07263409] , [0.43067668] , [-0.89957873], By, [0.74771337] , [-0.17735217], [-0.63989915], Bz, [0.01964281] , [-0.28732789], [-0.95763085]
Time, 01/02/2024 15:07:02, X, -75400881.20905031 , Y, 105418015.13284676 , Z,   63896082.00191401  , Lat,  0.4580276326840682 , Lon, -0.9499045651787865   , Alt, 138131457.06162143 , Bx, [0.4443981]  , [-0.20171466], [0.87282388] , By, [-0.05890508], [0.77147417] , [-0.63352805], Bz, [0.37000354] , [-0.52878766], [0.76385928]
Time, 01/02/2024 15:07:03, X, -76408376.65536198 , Y, 110617999.50219026 , Z,   67408427.26358171  , Lat,  0.46476304751373765, Lon, -0.9663115908422331   , Alt, 144023407.81865466 , Bx, [0.54100241] , [0.09401611] , [-0.83574958], By, [-0.05656061], [0.74531989] , [-0.66430351], Bz, [0.85079626] , [-0.51333681], [-0.11238794]
Time, 01/02/2024 15:07:04, X, -76686746.63155107 , Y, 115114045.05498905 , Z,   70030699.13657795  , Lat,  0.46867416299358444, Lon, -0.9831302882142543   , Alt, 148665767.57276532 , Bx, [-0.45048274], [-0.78836464], [-0.41898269], By, [-0.8599926] , [-0.35766937], [0.36398536] , Bz, [0.65148382] , [-0.57417716], [-0.49587238]
Time, 01/02/2024 15:07:05, X, -76121863.25867297 , Y, 119193497.01290256 , Z,   74725975.83421302  , Lat,  0.48608591413174174, Lon, -1.0024477795064435   , Alt, 153583991.3585453  , Bx, [-0.69832547], [0.25469017] , [-0.66893532], By, [0.17561668] , [0.93340922] , [-0.31289937], Bz, [0.56827911] , [-0.35654587], [0.74157527]
